Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
12/17/2019 20:05:58,"Sim, por um profissional da saúde homem",Branca,Sou menor de idade,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Posto de saúde,16-20,,Paraná,Curitiba,Não,
12/17/2019 20:28:54,"Sim, por um profissional da saúde homem",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,16-20,Urologista,São Paulo,São José dos Campos,Não,
12/17/2019 22:31:15,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,16-20,Pediatra,Paraná,Umuarama,Sim,Prefiro não falar sobre o assunto
12/18/2019 0:20:50,"Sim, por um profissional da saúde homem",Parda,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,16-20,Estudante,São Paulo,São José dos Campos,Não,
12/20/2019 12:28:24,"Sim, por um profissional da saúde homem",Parda,41-45,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Posto de saúde,16-20,Ginecologista,Minas Gerais,Belo Horizonte,Não,
12/21/2019 0:13:47,"Sim, por um profissional da saúde homem",Parda,18-25,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,16-20,Clinico Geral/ Ginecologista,São Paulo,Guarulhos ,Não,
12/28/2019 20:50:14,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Hospital particular,16-20,ginecologista,Minas Gerais,Belo horizonte,Não,
1/6/2020 9:02:20,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,16-20,Ginecologista,São Paulo,Sao Paulo,Não,
1/6/2020 11:29:02,"Sim, por um profissional da saúde homem",Parda,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Hospital particular,16-20,Clinico Geral - Pronto Socorro,São Paulo,São Paulo,Não,
1/7/2020 16:58:26,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital e clínica particular,16-20,"Enfermeiro, Clínico geral e GO (foram 3x)",São Paulo,São Paulo,Não,
