Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
6/2/2020 16:07:14,"Sim, por um profissional da saúde homem",Branca,26-30,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Posto de saúde,20-30,Clínico geral,Sergipe,Tobias Barreto,Sim,Encontrei resistência por parte dos profissionais de atendimento para registrar a minha denúncia
6/9/2020 4:25:49,"Sim, por um profissional da saúde homem",Parda,31-35,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,"Clinico, mas depois soube que tambem era cardiologista",Pernambuco,Recife,Não,
7/30/2020 20:15:25,"Sim, por um profissional da saúde homem",Branca,18-25,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Hospital particular,20-30,Ginecologista,Goiás,Luziânia,Não,
8/11/2020 12:14:11,"Sim, por um profissional da saúde homem",Branca,18-25,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,20-30,Cirurgia Geral e Bariátrica,Minas Gerais,Juiz De Fora,Não,
8/11/2020 14:43:38,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Ginecologista,Goiás,Senador Canedo,Não,
8/18/2020 23:04:43,"Sim, por um profissional da saúde homem",Parda,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Ginecologista,Bahia,Vitória da Conquista,Sim,"Não senti que o meu caso teve a devida atenção, Achei o processo e a espera muito longos, Encontrei resistência por parte dos profissionais de atendimento para registrar a minha denúncia"
9/6/2020 7:12:13,"Sim, por um profissional da saúde homem",Parda,50+,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Cardiologista,Bahia,Salvador,Não,
9/20/2020 23:43:48,"Sim, por um profissional da saúde homem",Branca,26-30,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Endocrinologista,Minas Gerais,Belo Horizonte,Sim,"Não senti que o meu caso teve a devida atenção, Achei o processo e a espera muito longos"
9/21/2020 11:32:13,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,20-30,Fisioterapia _ Quiropraxia,São Paulo,Bauru,Sim,Senti que os profissionais que me atenderam não tinham preparo técnico  para lidar com o meu caso
9/21/2020 12:19:31,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,São Paulo,Salto,Não,
12/15/2019 17:27:30,"Sim, por um profissional da saúde homem",Parda,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,20-30,,Minas Gerais,belo horizonte,Não,
12/15/2019 18:33:38,"Sim, por um profissional da saúde homem",Parda,50+,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,,Clínica particular,20-30,Ginecologista,Distrito Federal,Brasilia,Não,
12/15/2019 20:14:06,"Sim, por um profissional da saúde homem",Negra,36-40,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Hospital particular,20-30,Ortopedista,Minas Gerais,BELO horizonte,Sim,"Não senti que o meu caso teve a devida atenção, Os profissionais de atendimento descredibilizaram o meu relato, Senti que os profissionais que me atenderam não tinham preparo técnico  para lidar com o meu caso, Eram homens,estava fragiliza com a situação e eles me trataram friamente querendo saber detalhes de como me sentia na hora, me senti novamente violentada."
12/15/2019 20:18:14,"Sim, por um profissional da saúde homem",Branca,46-50,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Cardiovascular ,São Paulo,São Paulo ,Não,
12/16/2019 10:31:09,"Sim, por um profissional da saúde homem",Parda,26-30,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Ginecologista ,Paraná,Umuarama,Não,
12/16/2019 11:55:02,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Psiquiatra,Pernambuco,Recife,Não,
12/16/2019 18:53:11,"Sim, por um profissional da saúde homem",Negra,18-25,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Hospital público,20-30,Técnico de enfermagem,Bahia,Feira de Santana,Não,
12/16/2019 23:02:37,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),consultório particular do médico,20-30,Ortopedista,Rio Grande do Sul,Porto Alegre,Não,
12/17/2019 7:04:24,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Hospital particular,20-30,Ginecologista,Goiás,São Luis de Montes Belos,Não,
12/17/2019 9:13:44,"Sim, por um profissional da saúde homem",Parda,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,Bahia,Santo Antônio de Jesus,Não,
12/17/2019 14:20:29,"Sim, por um profissional da saúde homem",Negra,41-45,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,20-30,Ginecologia,Goiás,Goiânia ,Não,
12/17/2019 17:03:52,"Sim, por um profissional da saúde homem",Negra,26-30,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Injúria (Cantadas e palavras ofensivas)",Hospital público,20-30,Ginecologista,São Paulo,Santo André,Não,
12/17/2019 17:29:45,"Sim, por um profissional da saúde homem",Branca,26-30,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,,Clínica particular,20-30,Ginecologista ,Minas Gerais,Curvelo,Não,
12/19/2019 5:47:58,"Sim, por um profissional da saúde homem",Negra,50+,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ultrassonografia ginecológica,Mato Grosso,Cuiabá,Não,
12/20/2019 12:15:13,"Sim, por um profissional da saúde homem",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Hospital particular,20-30,Ginecologista,Rio de Janeiro,Rio de Janeiro,Não,
12/20/2019 16:11:14,"Sim, por um profissional da saúde homem",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Lésbica,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,20-30,Gastrologista,São Paulo,São Paulo,Não,
12/21/2019 21:54:49,"Sim, por um profissional da saúde homem",Amarela,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)","Eu não me considero nem hetero, nem bi sexual, pois nunca assumi um relacionamento homoafetivo","Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,"Psicanalista, hipnólogo, coach",Maranhão,São Luís,Não,
12/22/2019 10:23:01,"Sim, por um profissional da saúde homem",Parda,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Cardiologia,Distrito Federal,Brasília,Não,
12/23/2019 20:03:57,"Sim, por um profissional da saúde homem",Branca,46-50,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Posto de saúde,20-30,Genicologista,Pará,Belém,Não,
12/23/2019 22:01:32,"Sim, por um profissional da saúde homem",Parda,41-45,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Clínica particular,20-30,Ginecologista,Bahia,Salvador,Não,
12/27/2019 14:37:40,"Sim, por um profissional da saúde homem",Parda,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Hospital particular,20-30,GO ,São Paulo,São Paulo ,Não,
12/28/2019 17:27:30,"Sim, por um profissional da saúde homem",Branca,41-45,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,20-30,Clinico,São Paulo,Osasco,Sim,Positiva. Senti que os profissionais de atendimento deram a devida atenção ao meu caso
1/3/2020 13:12:06,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,20-30,Ginecologista e obstetrícia ,São Paulo,Ribeirão Preto ,Não,
1/6/2020 9:10:30,"Sim, por um profissional da saúde homem",Branca,36-40,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Reumatologista,São Paulo,Sao Paulo,Não,
1/6/2020 12:28:02,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologia,Rio de Janeiro,Rio de Janeiro,Não,
1/6/2020 15:20:28,"Sim, por um profissional da saúde homem",Branca,50+,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,São Paulo,São Paulo,Não,
1/10/2020 9:11:27,"Sim, por um profissional da saúde homem",Branca,36-40,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Assexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,20-30,Ecografo,Rio de Janeiro,Armação dos Búzios,Não,
1/15/2020 11:47:39,"Sim, por um profissional da saúde homem",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),Hospital público,20-30,enfermeiro,Paraná,Arapongas,Não,
1/20/2020 17:52:06,"Sim, por um profissional da saúde homem",Branca,31-35,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,20-30,Ginecologista,São Paulo,Santa Cruz do Rio Pardo,Não,
1/21/2020 7:25:37,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Importunação sexual (Beijos forçados e toques sem permissão), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Urologista,São Paulo,Botucatu,Não,
1/21/2020 7:44:50,"Sim, por um profissional da saúde homem",Branca,26-30,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Hospital particular,20-30,Ginecologista,São Paulo,Santo andre,Sim,Positiva. Senti que os profissionais de atendimento deram a devida atenção ao meu caso
1/21/2020 9:08:47,"Sim, por um profissional da saúde homem",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,20-30,Ginecologista/obstetra,São Paulo,Campinas,Não,
1/21/2020 12:44:33,"Sim, por um profissional da saúde homem",Parda,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Posto de saúde,20-30,Clínico geral,Rio de Janeiro,Mangaratiba,Não,
1/21/2020 17:09:42,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,20-30,Clínico geral,Pará,Marabá ,Não,
1/29/2020 15:54:14,"Sim, por um profissional da saúde homem",Parda,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,20-30,Pediatra,Minas Gerais,Uberaba,Sim,Positiva. Senti que os profissionais de atendimento deram a devida atenção ao meu caso
2/1/2020 15:41:25,"Sim, por um profissional da saúde homem",Branca,26-30,Classe E - Renda mensal familiar até   R$ 1.254,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,,Goiás,goini,Sim,Positiva. Senti que os profissionais de atendimento deram a devida atenção ao meu caso
2/9/2020 15:45:50,"Sim, por um profissional da saúde homem",Branca,50+,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,São Paulo,São Paulo,Não,
12/18/2019 9:29:47,"Sim, por uma profissional da saúde mulher",Branca,26-30,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Ginecologista,Rio de Janeiro,Barra de São João ,Não,
12/19/2019 12:39:32,"Sim, por uma profissional da saúde mulher",Branca,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Lésbica,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Posto de saúde,20-30,Enfermeira,Minas Gerais,Três Corações,Não,
1/7/2020 10:30:58,"Sim, por uma profissional da saúde mulher",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Posto de saúde,20-30,Clínico geral,Santa Catarina,Joaçaba,Não,
1/7/2020 10:44:00,"Sim, por uma profissional da saúde mulher",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,20-30,Ginecologista,São Paulo,Sao Paulo,Não,
1/29/2020 5:55:50,"Sim, por uma profissional da saúde mulher",Negra,26-30,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,20-30,obstetra,Bahia,Salvador ,Não,
2/17/2020 19:56:09,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,31-40,Ortopedista,São Paulo,São Paulo,Não,
2/17/2020 22:52:51,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,Neurologista,São Paulo,Sao paulo,Não,
2/27/2020 14:44:54,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,31-40,ginecologista,Paraná,Cornelio Procopio,Não,
3/23/2020 19:21:58,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital particular,31-40,Clinico,São Paulo,Jundiai,Não,
6/28/2020 22:19:12,"Sim, por um profissional da saúde homem",Parda,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",Hospital particular,31-40,Ginecologista/obstetra,Bahia,Itabuna,Sim,"Achei o processo e a espera muito longos, Os profissionais de atendimento descredibilizaram o meu relato, Encontrei resistência por parte dos profissionais de atendimento para registrar a minha denúncia, Senti que os profissionais que me atenderam não tinham preparo técnico  para lidar com o meu caso"
7/3/2020 16:02:51,"Sim, por um profissional da saúde homem",Parda,31-35,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,31-40,Fisioterapeuta,Minas Gerais,Cataguases,Sim,Positiva. Senti que os profissionais de atendimento deram a devida atenção ao meu caso
7/13/2020 10:01:52,"Sim, por um profissional da saúde homem",Branca,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Injúria (Cantadas e palavras ofensivas)",Clínica particular,31-40,Cardiologista,São Paulo,São Paulo,Não,
7/16/2020 16:28:22,"Sim, por um profissional da saúde homem",Branca,36-40,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,clínico geral,Rio Grande do Sul,Canguçu,Não,
7/19/2020 13:28:03,"Sim, por um profissional da saúde homem",Branca,36-40,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico)",atendimento odontológico da universidade federal do paraná,31-40,Raio x odontologico,Paraná,curitiba,Não,
7/20/2020 17:54:10,"Sim, por um profissional da saúde homem",Branca,41-45,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Importunação sexual (Beijos forçados e toques sem permissão),Clínica particular,31-40,Psiquiatra,Paraná,Cascavel,Não,
8/10/2020 13:43:44,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,Cardiologista,São Paulo,São Paulo,Não,
9/21/2020 11:01:15,"Sim, por um profissional da saúde homem",Parda,41-45,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,Ginecologista e Obstetrícia,Acre,Rio Branco,Não,
12/15/2019 20:01:14,"Sim, por um profissional da saúde homem",Branca,31-35,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,Angiologista,Rio de Janeiro,Niterói,Não,
12/16/2019 10:34:47,"Sim, por um profissional da saúde homem",Parda,41-45,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,"Importunação sexual (Beijos forçados e toques sem permissão), Estupro de vulnerável (quando a vítima é menor de 14 anos ou esta sob efeito de medicação)",Hospital particular,31-40,Anestesista,Rio de Janeiro,São Gonçalo,Não,
12/17/2019 19:25:10,"Sim, por um profissional da saúde homem",Parda,36-40,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,31-40,Fernando Antonio Silva Filizola,Pernambuco,Recife,Não,
