specialty,count
Gynecology/obstetrics,72
General practice/internal medicine,26
Other/unclear,17
Pediatrics,10
Cardiology,10
Nursing,9
Orthopedics/traumatology,8
Gastroenterology,7
Dentistry,6
Dermatology,5
Radiology,5
Surgery,4
Psychiatry/psychology,4
Physiotherapy,3
Otorhinolaryngology,1
Nutrition,1
Rheumatology,1
Anesthesiology,1
Homeopathy,1
Mastology,1
