victim_race
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Negra
Parda
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Parda
Branca
Branca
Negra
Negra
Branca
Branca
Branca
Parda
Amarela
Branca
Negra
Branca
Branca
Negra
Branca
Negra
Parda
Negra
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Parda
Branca
Branca
Branca
Parda
Parda
Parda
Branca
Branca
Parda
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Negra
Branca
Negra
Parda
Branca
Amarela
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Parda
Parda
Negra
Branca
Parda
Branca
Negra
Branca
Branca
Parda
Negra
Negra
Branca
Negra
Branca
Branca
Amarela
Parda
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Negra
Branca
Branca
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Parda
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Negra
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Negra
Branca
Branca
Parda
Branca
Branca
Negra
Branca
